"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"32.69","12.5","5.61","-0.24","1.94","-1.58","-0.05"
"32.77","6.39","-0.86","-2.24","0.23","-0.28","0.18"
"32.83","6.63","3.14","-1.69","0.58","-0.07","0.59"
"32.89","7.73","1.65","-3.37","0.18","0.19","0.59"
"32.96","7.65","0.39","-2.63","0.72","1.11","-0.53"
"33.02","10.1","5.06","-2.08","0.15","-0.08","-0.24"
"33.08","18.2","13.1","4.39","-0.82","0.14","0.53"
"33.15","8.08","-0.43","-0.16","-0.36","0.81","1.14"
"33.21","9.81","5.14","-2.51","-0.01","0.13","-0.87"
"33.27","5.30","5.69","0.98","-0.68","0.78","-0.53"
"33.33","5.65","0.98","-2.35","-0.46","0.10","-0.18"
"33.40","8.12","4.55","-0.75","-1.20","0.50","-0.49"
"33.46","8.00","2.12","-1.57","-0.80","0.83","-0.24"
"33.52","8.67","-0.12","-2.63","-0.78","-0.17","-0.09"
"33.58","6.86","2.82","8.24","0.04","-1.01","-0.16"
"33.65","17.7","12.1","2.47","0.88","-1.91","-0.01"
"33.71","9.69","2.16","-0.16","0.42","0.04","0.03"
"33.78","7.77","2.39","-1.22","0.86","0.15","0.28"
"33.83","6.08","2.67","-2.94","0.48","-0.16","0.78"
"33.90","7.34","0.78","-2.79","0.47","1.19","0.07"
"33.96","7.77","3.18","-0.98","1.08","0.69","-0.64"
"34.03","11.8","5.02","-3.37","-0.11","-0.16","0.14"
"34.08","5.30","8.28","2.24","-0.91","-0.25","1.81"
"34.15","14.0","2.28","2.28","0.07","0.22","0.13"
"34.22","7.81","9.26","0.98","0.01","1.18","-0.91"
"34.28","5.49","2.39","-3.18","-0.75","0.08","-0.22"
"34.33","6.28","1.84","-0.94","-1.04","0.46","-0.44"
"34.41","7.77","4.79","-2.20","-1.16","0.54","-0.53"
"34.47","8.28","0.71","-0.98","-0.59","0.44","-0.26"
