NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
27.6340,-19.97,0.63,8.87,0.36,0.97,-0.20
27.7160,-14.98,-0.20,4.35,0.73,-0.01,1.14
27.7980,2.35,-1.69,-6.12,0.88,-0.04,0.46
27.8800,0.31,1.18,-0.63,0.05,0.67,-0.97
27.9620,-20.01,-12.63,-4.63,-0.49,1.76,-0.31
28.0440,-13.22,0.47,3.49,-0.62,-0.91,-0.33
28.1260,-11.53,-3.26,3.18,0.01,-1.17,-0.11
28.2080,-4.08,-1.84,2.12,0.10,-0.18,0.34
28.2900,1.61,1.69,1.02,-0.93,0.53,-0.11
28.3720,-15.97,0.24,2.59,-1.84,0.99,-0.42
28.4540,-18.44,-6.04,3.84,0.76,1.00,0.09
28.5360,-12.91,-1.77,1.88,0.68,-0.02,0.92
28.6180,2.28,3.22,-2.04,0.55,-0.36,0.24
28.7000,-0.47,0.04,-1.14,0.27,0.65,-1.11
28.7820,-7.22,-4.98,11.61,-0.99,2.34,1.32
28.8640,-17.85,1.57,5.30,-0.05,-1.67,-0.14
28.9460,-12.04,-5.14,2.75,0.55,-1.10,-0.48
29.0280,-2.47,-2.51,1.14,0.06,0.08,0.63
29.1100,0.90,0.94,0.59,-1.03,0.68,-0.30
29.1920,-20.01,-0.90,9.49,-1.49,0.24,-1.30
29.2740,-18.04,-5.53,5.37,0.60,0.52,0.62
29.3560,-10.79,-3.06,3.30,1.00,-0.04,0.70
29.4380,2.39,3.92,-1.18,0.16,-0.11,0.19
29.5200,-0.82,-0.63,-1.49,0.04,0.46,-1.08
29.6020,-14.55,-1.10,11.53,0.12,-0.44,0.62
29.6840,-19.93,-0.08,6.24,-0.13,-1.64,-0.20
29.7660,-11.30,-2.67,3.96,0.47,-1.37,-0.47
29.8480,-0.63,-2.67,1.45,0.05,-0.13,0.47
29.9300,1.26,1.41,2.71,-0.91,0.84,-0.45
30.0120,-20.01,1.69,16.79,-0.05,-0.42,-0.86
30.0940,-17.42,-5.14,4.00,0.70,0.39,0.98
30.1760,-4.51,-3.77,-0.86,1.25,-0.47,0.46
30.2580,-0.20,4.94,-0.04,0.30,-0.01,-0.70
30.3400,-4.79,4.43,17.61,-0.05,0.16,-0.75
30.4220,-14.40,-4.94,4.75,-0.48,0.10,0.52
30.5040,-19.73,-3.73,5.26,0.35,-1.81,0.05
30.5860,-9.96,0.90,2.04,0.08,-1.05,-0.13
30.6680,0.86,-0.27,0.90,-0.17,0.09,0.32
30.7500,-4.16,8.90,11.65,-1.58,0.45,-0.55
30.8320,-20.01,0.08,10.00,0.44,0.45,-0.23
